cluster_id,n_GO_annotated_proteins,Biological_Process,Cellular_Component,Molecular_Function,Gene_Descriptions
scaffold16_win2-6,5,cell redox homeostasis; electron transport,,sulfotransferase activity; [heparan sulfate]-glucosamine 3-sulfotransferase 3 activity; protein disulfide oxidoreductase activity,Sulfotransferase domain; P-loop containing nucleoside triphosphate hydrolase; PC-Esterase; Ribosome biogenesis protein Nop53/GLTSCR2; Glutaredoxin; Glutaredoxin active site; Thioredoxin-like fold; Armadillo-type fold; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; YTH domain; Protein phosphatase 2C (PP2C)-like domain; Pectin lyase fold/virulence factor; RGS domain; Surfeit locus 1/Shy1
scaffold20_win2-5,0,,,,No InterPro/domain descriptions for proteins in block
scaffold22_win2-4,1,,,protein kinase CK2 activity,FNIP; Prokaryotic membrane lipoprotein lipid attachment site profile.
scaffold26_win3-5,4,transport; protein amino acid phosphorylation,integral to membrane; membrane,ATP binding; transporter activity; ATPase activity,"General substrate transporter; Sugar transporter, conserved site; Major facilitator superfamily domain; ABC transporter-like; ABC transporter type 1, transmembrane domain; ABC transporter, conserved site; PIN domain-like; Quinonprotein alcohol dehydrogenase-like superfamily; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Serine/threonine-protein kinase, active site; Ankyrin repeat; Ankyrin repeat-containing domain; Ribonuclease T2-like; Ribonuclease T2, active site"
scaffold29_win3,3,,membrane,O-methyltransferase activity; caffeate O-methyltransferase activity,"Protein of unknown function DUF2358; Exostosin-like; Pectin lyase fold/virulence factor; O-methyltransferase, family 2; O-methyltransferase COMT-type; S-adenosyl-L-methionine-dependent methyltransferase; Mitochodrial transcription termination factor; KIAA1430 homologue"
scaffold32_win1,6,translational elongation; translation; electron transport,eukaryotic translation elongation factor 1 complex; ribosome; intracellular,translation elongation factor activity; structural constituent of ribosome; cytochrome-c oxidase activity,"Carbohydrate binding module family 25; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange; Ribosomal protein L34Ae; Ribosomal protein L34e, conserved site; Cytochrome c oxidase subunit III domain; Zinc finger, C6HC-type; Zinc finger, RING-type; 3'5'-cyclic nucleotide phosphodiesterase, catalytic domain; GAF domain; 3'5'-cyclic nucleotide phosphodiesterase, conserved site; Sulfotransferase domain; P-loop containing nucleoside triphosphate hydrolase; Polymorphic outer membrane protein repeat"
scaffold32_win3,1,,,,"DNA breaking-rejoining enzyme, catalytic core; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat"
scaffold40_win2-3,5,protein amino acid phosphorylation,,ATP binding; protein kinase activity; protein kinase CK2 activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Protein kinase domain; Protein kinase-like domain; Sulfotransferase; P-loop containing nucleoside triphosphate hydrolase; Diacylglycerol acyltransferase; Mad3/BUB1 homology region 1; PIN domain-like; CobW/HypB/UreG domain; Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal; P-loop containing nucleoside triphosphate hydrolase"
scaffold42_win2-7,1,,membrane,,Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Prokaryotic membrane lipoprotein lipid attachment site profile.; Parallel beta-helix repeat; Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Polymorphic outer membrane protein repeat; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Mitochondrial substrate/solute carrier; Mitochondrial carrier domain; Polymorphic outer membrane protein repeat; Parallel beta-helix repeat; Tetratricopeptide TPR1; TPR repeat; Tetratricopeptide repeat; Pectin lyase fold/virulence factor; Exostosin-like; Sulfotransferase
scaffold48_win2-4,0,,,,Filamin/ABP280 repeat-like; Immunoglobulin E-set
scaffold51_win1,0,,,,Polymorphic outer membrane protein repeat
scaffold52_win4,3,nucleotide-excision repair; sulfate assimilation; GMP biosynthetic process,,"transferase activity, transferring phosphorus-containing groups; kinase activity; ATP binding",Ankyrin repeat-containing domain; Ankyrin repeat; Domain of unknown function DUF3668; TFIIH subunit TTDA/Tfb5; Adenylylsulphate kinase; P-loop containing nucleoside triphosphate hydrolase; IMP dehydrogenase/GMP reductase; CBS domain; Inosine-5'-monophosphate dehydrogenase; Pentatricopeptide repeat
scaffold55_win1,0,,,,PAN-3 domain
scaffold58_win1,10,ubiquitin-dependent protein catabolic process; regulation of transcription; transcription,membrane; nucleus; intrinsic to endoplasmic reticulum membrane,ATP binding; nucleic acid binding; nucleoside-triphosphatase activity,"ATPase, AAA-type, core; ATPase family AAA domain-containing protein 3, domain of unknown function DUF3523; ATPase, AAA-type, conserved site; Ankyrin repeat-containing domain; Ankyrin repeat-containing domain; Ankyrin repeat; Calcineurin-like phosphoesterase domain, apaH type; Iron/zinc purple acid phosphatase-like C-terminal domain; Purple acid phosphatase-like, N-terminal; Regulator of chromosome condensation (RCC1) repeat; Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II; Peptidase C19, ubiquitin carboxyl-terminal hydrolase; Ubiquitin specific protease, conserved site; Ubiquitin specific protease domain; CDC50/LEM3 family; Zinc finger, TFIIS-type; DNA-directed RNA polymerase, M/15kDa subunit; DNA-directed RNA polymerase, subunit C11/M/9; Thioredoxin-like fold; Adaptor protein ClpS, core; Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like; Leucine rich repeat 4; Leucine-rich repeat; Leucine-rich repeat, SDS22-like subfamily; Intraflagellar transport protein 43; DEAD/DEAH box helicase domain; Helicase, C-terminal; GUCT; EF-hand domain; Protein kinase domain; Protein kinase, ATP binding site; Serine/threonine-protein kinase, active site; AAA domain; P-loop containing nucleoside triphosphate hydrolase; D123; GPI inositol-deacylase PGAP1-like; Alpha/Beta hydrolase fold; Metallo-dependent phosphatase-like"
scaffold58_win3,0,,,,Major facilitator superfamily domain; Ankyrin repeat-containing domain
scaffold60_win3,0,,,,"Carbohydrate-binding WSC; AAA domain; DNA recombination and repair protein RecA-like, ATP-binding domain; P-loop containing nucleoside triphosphate hydrolase; Prokaryotic membrane lipoprotein lipid attachment site profile.; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; HAD-like domain"
scaffold61_win1-4,11,lipid metabolic process; carbohydrate metabolic process; rRNA processing,small subunit processome,"GTP binding; quinone binding; oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor","Ankyrin repeat-containing domain; Ankyrin repeat; Carbohydrate-binding WSC; Glucose/Sorbosone dehydrogenase; Carbohydrate-binding WSC, subgroup; Prokaryotic membrane lipoprotein lipid attachment site profile.; AIG1-type guanine nucleotide-binding (G) domain; P-loop containing nucleoside triphosphate hydrolase; GDSL lipase/esterase; Cytochrome b5-like heme/steroid binding domain; Fatty acid desaturase, type 1; Type III secretion system substrate exporter, C-terminal; SGNH hydrolase-type esterase domain; DEAD/DEAH box helicase domain; Helicase, C-terminal; ATP-dependent RNA helicase DEAD-box, conserved site; WD40 repeat; Small-subunit processome, Utp12; Cobalt chelatase, CobT subunit; Crotonase superfamily; Formyl transferase, N-terminal; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain; Lipase, GDSL, active site; Tetratricopeptide TPR1; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; Peptidase S49; ClpP/crotonase-like domain; Peptidase S49, SppA"
scaffold62_win2-3,2,"DNA repair; regulation of transcription, DNA-dependent; two-component signal transduction system (phosphorelay)",,nuclease activity; T/G mismatch-specific endonuclease activity; phosphoric ester hydrolase activity,"XPG N-terminal; XPG-I domain; PIN domain-like; Signal transduction response regulator, receiver domain; CheY-like superfamily; Ribosomal protein L5 domain"
scaffold63_win1,5,electron transport; spermidine biosynthetic process; spermine biosynthetic process,ribonucleoside-diphosphate reductase complex,FAD binding; oxidoreductase activity; adenosylmethionine decarboxylase activity,"S-adenosylmethionine decarboxylase; S-adenosylmethionine decarboxylase, conserved site; S-adenosylmethionine decarboxylase, core; FAD linked oxidase, N-terminal; Berberine/berberine-like; Oxygen oxidoreductase covalent FAD-binding site; FAD linked oxidase, N-terminal; Oxygen oxidoreductase covalent FAD-binding site; FAD-binding, type 2; Ribonucleotide reductase large subunit, N-terminal; Ribonucleotide reductase large subunit, C-terminal; ATP-cone"
scaffold64_win1,5,protein amino acid phosphorylation; translation,ribosome; intracellular,ATP binding; ATPase activity; nucleoside-triphosphatase activity,"ABC transporter-like; ABC transporter, conserved site; AAA+ ATPase domain; Ribosomal protein L1/ribosomal biogenesis protein; Ribosomal protein L1; Ribosomal protein L1-like; Protein kinase domain; Protein kinase, ATP binding site; Serine/threonine/dual specificity protein kinase, catalytic  domain; Ankyrin repeat-containing domain; Ankyrin repeat; Protein kinase domain; Serine/threonine/dual specificity protein kinase, catalytic  domain; Protein kinase-like domain; ABC transporter-like; ABC-2 type transporter; ABC transporter, conserved site"
scaffold65_win1-4,0,,,,Ankyrin repeat-containing domain; Ankyrin repeat; Prokaryotic membrane lipoprotein lipid attachment site profile.
scaffold67_win3-5,0,,,,Pectin lyase fold/virulence factor; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat
scaffold69_win3-4,0,,,,Pectin lyase fold/virulence factor
scaffold71_win3,3,mRNA metabolic process,ribonucleoprotein complex,ATP binding; nucleoside-triphosphatase activity; nucleotide binding,"ATPase, AAA-type, core; ATPase, AAA-type, conserved site; AAA+ ATPase domain; Ribonucleoprotein LSM domain; Ribonucleoprotein LSM domain, eukaryotic/archaea-type; Like-Sm (LSM) domain; Ankyrin repeat-containing domain; Zinc finger, ZZ-type"
scaffold85_win2,4,carbohydrate metabolic process,,lactoylglutathione lyase activity; ATP binding; nucleoside-triphosphatase activity,"Leucine-rich repeat; Leucine-rich repeats, bacterial type; Leucine-rich repeat, typical subtype; Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase; ATPase, AAA-type, core; ATPase, AAA-type, conserved site; AAA+ ATPase domain; Aldose 1-/Glucose-6-phosphate 1-epimerase; Aldose 1-epimerase, conserved site; Galactose mutarotase-like domain; Ankyrin repeat-containing domain"
scaffold86_win2-4,0,,,,Pectin lyase fold/virulence factor; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat
scaffold90_win2,5,proteolysis; base-excision repair; DNA repair,integral to membrane; intracellular,zinc ion binding; peptidase activity; glutamate carboxypeptidase II activity,"SNARE associated Golgi protein; Integral membrane protein TerC; Zinc finger, RING-type; Protease-associated domain, PA; Transferrin receptor-like, dimerisation domain; Peptidase M28; WD40 repeat; WD40-repeat-containing domain; Leucine-rich repeat; Leucine rich repeat 4; Leucine-rich repeat, typical subtype; Prokaryotic membrane lipoprotein lipid attachment site profile.; zinc-finger of a C2HC-type; Helix-hairpin-helix motif; HhH-GPD domain; Endonuclease III-like, conserved site-2"
scaffold93_win3-4,7,translation; protein ubiquitination; negative regulation of ubiquitin-protein ligase activity,ribosome; intracellular; ubiquitin ligase complex,structural constituent of ribosome; ubiquitin-protein ligase activity; DNA-directed DNA polymerase activity,"Ribosomal protein L29e; DNA breaking-rejoining enzyme, catalytic core; U box domain; Ubiquitin conjugation factor E4, core; DNA polymerase V; Armadillo-type fold; CidB/LrgB family; Armadillo-type fold; Helicase, C-terminal; Helicase/UvrB domain; Helicase superfamily 1/2, ATP-binding domain; HAD-like domain"
scaffold94_win1,0,,,,Major facilitator superfamily domain; Major facilitator superfamily; Major facilitator superfamily domain
scaffold96_win2-4,7,proteolysis; GMP biosynthetic process; purine nucleotide biosynthetic process,membrane,caspase activity; ATP binding; GMP synthase (glutamine-hydrolyzing) activity,"Peptidase C14, caspase domain; Glutamine amidotransferase; GMP synthase, C-terminal; NAD/GMP synthase; Signal transduction response regulator, receiver domain; Phytochrome, central region; Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain; FNIP"
scaffold98_1-4,1,,membrane,,"Exostosin-like; Prokaryotic membrane lipoprotein lipid attachment site profile.; Isocitrate lyase/phosphorylmutase, conserved site; Spt5 C-terminal nonapeptide repeat binding Spt4; Sulfotransferase"
scaffold100_win1,2,"regulation of transcription, DNA-dependent; protein amino acid phosphorylation",nucleus,ATP binding; protein serine/threonine kinase activity,"YEATS; Ankyrin repeat-containing domain; EAP30; Vacuolar protein sorting protein 36, GLUE domain; IQ motif, EF-hand binding site; MHCK/EF2 kinase; von Willebrand factor type A domain; von Willebrand factor, type A"
scaffold101_3,1,proteolysis,,aspartic-type endopeptidase activity,"Tetratricopeptide repeat; Oxoglutarate/iron-dependent dioxygenase; Non-haem dioxygenase N-terminal domain; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; FAD-binding 8; Ferric reductase, NAD binding; Riboflavin synthase-like beta-barrel; Aspartic peptidase, active site"
scaffold105_win1-2,2,,,ketoreductase activity; versicolorin reductase activity; myrtenol dehydrogenase activity,"FNIP; Plastid lipid-associated protein/fibrillin conserved domain; Frataxin/CyaY; Frataxin conserved site; Frataxin; Rieske [2Fe-2S] iron-sulphur domain; Aromatic-ring-hydroxylating dioxygenase, 2Fe-2S-binding site"
scaffold110_win2,8,potassium ion transport,membrane; voltage-gated potassium channel complex,voltage-gated potassium channel activity,Potassium channel tetramerisation-type BTB domain; BTB/POZ fold; Major facilitator superfamily; Major facilitator superfamily domain; Potassium channel tetramerisation-type BTB domain; TLDc domain; BTB/POZ fold; Major facilitator superfamily domain
scaffold113_win2,2,,nucleus,"hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; guanine deaminase activity","Amidohydrolase 1; Metal-dependent hydrolase, composite domain; Guanine deaminase; Zinc finger, C3HC-like"
scaffold120_win2,2,protein amino acid phosphorylation,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase domain; Serine/threonine/dual specificity protein kinase, catalytic  domain"
scaffold122_win1,0,,,,Pectin lyase fold/virulence factor; P-loop containing nucleoside triphosphate hydrolase; Parallel beta-helix repeat; Pectin lyase fold/virulence factor
scaffold125_win1,5,cell adhesion; proteolysis; translational initiation,membrane,zinc ion binding; metalloendopeptidase activity; translation initiation factor activity,"Tubulin binding cofactor C-like domain; C-CAP/cofactor C-like domain; CARP motif; Epidermal growth factor-like domain; Epidermal growth factor-like domain; Peptidase M8, leishmanolysin; EGF-like, conserved site; Amino acid transporter, transmembrane; Eukaryotic translation initiation factor 3 subunit D; Ankyrin repeat; Ankyrin repeat-containing domain; Epidermal growth factor-like domain; EGF-like, conserved site; Peptidase M8, leishmanolysin"
scaffold131_win1-3,18,protein amino acid phosphorylation; cell adhesion,,prostaglandin-D synthase activity; ATP binding; protein-tyrosine kinase activity,"Glutathione S-transferase, C-terminal-like; Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal-like; Thioredoxin-like fold; Glutathione S-transferase, N-terminal; Thioredoxin-like fold; Glutathione S-transferase, C-terminal; Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal-like; Major facilitator superfamily; Major facilitator superfamily domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase domain; Protein kinase-like domain; Major facilitator superfamily domain; Polymorphic outer membrane protein repeat; 4Fe-4S ferredoxin, iron-sulphur binding, conserved site; Pectin lyase fold/virulence factor; FNIP; Coagulation factor 5/8 C-terminal type domain; Parallel beta-helix repeat; Galactose-binding domain-like"
scaffold133_win1,2,protein amino acid phosphorylation,,ATP binding; protein kinase activity; protein serine/threonine kinase activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Protein kinase domain; Protein kinase, ATP binding site; Serine/threonine/dual specificity protein kinase, catalytic  domain"
scaffold133_win2-3,6,protein amino acid phosphorylation,,ATP binding; protein kinase activity; protein-tyrosine kinase activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Quinonprotein alcohol dehydrogenase-like superfamily; Serine-threonine/tyrosine-protein kinase catalytic domain; Integrin-linked protein kinase; Protein kinase domain; Protein kinase, ATP binding site"
scaffold134_win1,1,,proteinaceous extracellular matrix,metalloendopeptidase inhibitor activity,"Rieske [2Fe-2S] iron-sulphur domain; Pheophorbide a oxygenase; Major facilitator superfamily; Major facilitator superfamily domain; GRIP; Proteinase inhibitor I35, tissue inhibitor of metalloproteinase; Tissue inhibitor of metalloproteinases-like, OB-fold"
scaffold141_win1,4,peroxisome organization and biogenesis; regulation of transcription; transcription,peroxisomal membrane,zinc ion binding; transcription regulator activity; nucleic acid binding,"Pex, N-terminal; Zinc finger, RING-type, conserved site; Zinc finger, RING-type; Zinc finger, TFIIS-type; DNA-directed RNA polymerase, subunit C11/M/9; Regulator of chromosome condensation, RCC1; Regulator of chromosome condensation (RCC1) repeat; Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; NB-ARC; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; EF-hand domain pair; EF-Hand 1, calcium-binding site; EF-hand domain; Tetratricopeptide TPR1; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain"
scaffold141_win2,4,proline biosynthetic process; transport; translational elongation,integral to membrane; membrane; intracellular,pyrroline-5-carboxylate reductase activity; oxidoreductase activity; transporter activity,"Major facilitator superfamily domain; General substrate transporter; Sugar transporter, conserved site; Major facilitator superfamily domain; Ankyrin repeat; Ankyrin repeat-containing domain; Pyrroline-5-carboxylate reductase, catalytic, N-terminal; Pyrroline-5-carboxylate reductase, dimerisation domain; Pyrroline-5-carboxylate reductase; Elongation factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFTu/EF1A, domain 2"
scaffold145_win1-5,11,protein amino acid phosphorylation; small GTPase mediated signal transduction,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Polysaccharide pyruvyl transferase; Leucine-rich repeat; Small GTPase superfamily; ROC GTPase; P-loop containing nucleoside triphosphate hydrolase; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Polymorphic outer membrane protein repeat; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase domain; Tyrosine-protein kinase, catalytic domain; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; PC-Esterase; Small GTPase superfamily; Leucine-rich repeat; Leucine rich repeat 4"
scaffold146_win1-3,6,biosynthetic process,membrane,"hydroxymethyl-, formyl- and related transferase activity; N-acetyltransferase activity","Crotonase superfamily; Formyl transferase, N-terminal; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain; Exostosin-like; Pectin lyase fold/virulence factor; Prokaryotic membrane lipoprotein lipid attachment site profile.; Pectin lyase fold/virulence factor; Sulfotransferase; GNAT domain; Acyl-CoA N-acyltransferase; Fibrinogen binding protein"
scaffold149_win1-2,1,,integral to membrane,,Mpv17/PMP22
scaffold155_win1,1,,,zinc ion binding; nucleic acid binding,"Vacuolar protein sorting-associated protein 35, Vps35; Zinc finger, double-stranded RNA binding; Zinc finger, U1-type; Tumour suppressor, Mitostatin; Glycosyltransferase AER61, uncharacterised; DOMON domain"
scaffold155_win2-4,6,neuropeptide signaling pathway; carbohydrate metabolic process; regulation of Rab GTPase activity,membrane; intracellular,sugar binding; glutamine-fructose-6-phosphate transaminase (isomerizing) activity; Rab GTPase activator activity,"Sulfotransferase; Sugar isomerase (SIS); Glutamine amidotransferase domain; Glutamine amidotransferase type 2 domain; Carbohydrate-binding WSC; Carbohydrate-binding WSC, subgroup; Rab-GTPase-TBC domain; Glycosyltransferase AER61, uncharacterised; PKD/REJ-like protein; Lactonase, 7-bladed beta propeller; GPS motif; PKD/REJ-like protein; Soluble quinoprotein glucose/sorbosone dehydrogenase; FAD-binding 8; Riboflavin synthase-like beta-barrel; Domain of unknown function DUF221; Late exocytosis, associated with Golgi transport; Domain of unknown function DUF4463"
scaffold166_1-2,6,electron transport; carbohydrate metabolic process; nitrate assimilation,proteasome core complex,oxidoreductase activity; nucleic acid binding; quinone binding,"Ribonuclease H-like domain; Carbohydrate-binding WSC; Glucose/Sorbosone dehydrogenase; Carbohydrate-binding WSC, subgroup; Oxidoreductase, N-terminal; Oxidoreductase, C-terminal; Protein of unknown function DUF3007; Ankyrin repeat-containing domain; Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain; Nitrite/sulphite reductase 4Fe-4S domain; Nitrite/Sulfite reductase ferredoxin-like domain; Histidine phosphatase superfamily, clade-2; Histidine phosphatase superfamily; Proteasome, subunit alpha/beta; Proteasome B-type subunit; Nucleophile aminohydrolases, N-terminal"
scaffold177_2,0,,,,JmjC domain; Major facilitator superfamily; Major facilitator superfamily domain; Major facilitator superfamily domain
scaffold181_1-3,7,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process; biosynthetic process; ATP synthesis coupled proton transport",proton-transporting two-sector ATPase complex; membrane; integral to membrane,"ATP binding; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATP-dependent helicase activity","ATP-dependent helicase, C-terminal; Cytidyltransferase-like domain; Oligosaccharyl transferase complex, subunit OST3/OST6; Thioredoxin-like fold; V-ATPase proteolipid subunit C-like domain; V-ATPase proteolipid subunit C, eukaryotic; C2 domain; WW domain; IQ motif, EF-hand binding site; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA-like domain; Pseudouridine synthase, RsuA/RluB/C/D/E/F; RNA-binding S4 domain; Pseudouridine synthase, RsuA/RluB/E/F, conserved site; Ribosomal protein S5 domain 2-type fold; Zinc finger, RanBP2-type"
scaffold187_2,2,,,T/G mismatch-specific endonuclease activity; phosphoric ester hydrolase activity; nuclease activity,"PIN domain-like; Major facilitator superfamily domain; Aminotransferase, class IV; P-loop containing nucleoside triphosphate hydrolase"
scaffold189_2,1,photosynthesis; electron transport,integral to membrane; thylakoid; photosystem I,,"Photosystem I PsaA/PsaB; Photosystem I PsaA/PsaB, conserved site; Uncharacterised protein family Ycf54; Glycosyl transferase family 2"
scaffold190_1,0,,,,Polymorphic outer membrane protein repeat
scaffold195_2,0,,,,No InterPro/domain descriptions for proteins in block
scaffold215_1-2,6,RNA processing; rRNA processing,small subunit processome,oxidoreductase activity; protein kinase CK2 activity; ribonuclease III activity,"FNIP; Uncharacterised domain, di-copper centre; Tyrosinase copper-binding domain; Uncharacterised domain, di-copper centre; Ribonuclease III domain; Sas10/Utp3/C1D; Helicase, C-terminal; P-loop containing nucleoside triphosphate hydrolase"
scaffold217_1-2,8,pseudouridine synthesis,membrane,protein kinase CK2 activity; ATP binding; nucleoside-triphosphatase activity,"FNIP; Phosphatidic acid phosphatase type 2/haloperoxidase; ATPase, AAA-type, core; CDC48, N-terminal subdomain; CDC48, domain 2; Pseudouridine synthase, RsuA/RluB/C/D/E/F; Pseudouridine synthase, catalytic domain"
